646,https://www.vivino.com/bonny-doon-le-cigare-blanc/w/646,28.99,Bonny Doon,Le Cigare Blanc,White wine,Californian White Blend,Arroyo Seco,United States,3.7,686,73.0512,,34.1092,34.5762,Cloudy and for the sommelier and Bonne!,Nice thick aromatics of old books and petrol in the distance with delicate lilac floral aromas as well as a sort of honey wax thing (beeswax vineyard has yet to give a bad wine) a pirouette of poached pears centering around an elegant sort of citrus apple thing with luscious textures. A faint smokey savoriness too. Rhone whites are criminally underrated and always overperform for the price point. It's a little pricey but not at all regrettable,"Golden limpid brilliant uellow with intrincated and sofjsticated aromes of damascus, honey,, milk caramel and portuguese nuts. In mouth a medium body wine that starts rounded up, grows in acidity and ends with subtil sweetness leaving a caramel aftertaste.",https://images.vivino.com/thumbs/NwapTrakR26QumzyNXWC8A_pb_x300.png
649,https://www.vivino.com/bonterra-cabernet-sauvignon/w/649,12.99,Bonterra,Cabernet Sauvignon,Red wine,Californian Cabernet Sauvignon,California,United States,3.7,16037,92.5,61.2959,11.20942,52.0987,"Light bodied, berries, smooth finish.","I don't always drink organic wine, but when I do- I drink Bonterra. What a supple mouthful of a tongue tickling and palate massaging wine! I'll stop now.",Slightly earthy. Smooth but not much bouquet.,https://images.vivino.com/thumbs/bN6q5GfKQJCIRNWjw-zgJw_pb_x300.png
650,https://www.vivino.com/bonterra-chardonnay/w/650,10,Bonterra,Chardonnay,White wine,Californian Chardonnay,Mendocino County,United States,3.7,7292,92.5,,42.8633,57.7395,"Refreshing, clean and crisp. There are toasty oak notes but they are subtle compared to the lemon zest and minerals on the finish.",It was a pretty good wine. Best thing about it is I didn't have a reaction to sulfites after drinking it.,lightly oaked. Gentle taste of stone fruit. Organically grown! Great price.,https://images.vivino.com/thumbs/pGfeFeJgTkKADKd2B4Lw3g_pb_x300.png
651,https://www.vivino.com/bonterra-merlot/w/651,12.99,Bonterra,Merlot,Red wine,Californian Merlot,Mendocino County,United States,3.7,4946,74.2185,26.5319,22.4519,18.9793,"Good,full bodied. I had to check the alcohol level as that is how they give it body but it 13.9 so normal. Organic which always add more value to it.","Lovely, smooth, slightly sweet summery fruits with a long, dry finish","Very smooth, not at all unpleasant. Get me some roast beef to have with it! Flavours of blueberries, blackberries, oak and chocolate on the palate, low tannins, dry+, medium acidity and high alcohol.",https://images.vivino.com/thumbs/LZuQ0fLmQDu3g6IDSK9A_Q_pb_x300.png
654,https://www.vivino.com/bonterra-sauvignon-blanc/w/654,12.99,Bonterra,Sauvignon Blanc,White wine,Californian Sauvignon Blanc,California,United States,3.6,2319,49.8285,,8.14477,77.774,Our second favorite sauv blanc. Somewhat fruity and crisp without the grapefuitiness.,3/13 13.0%. Grapefruit fresh mowed grass. Very refreshing. A nice drinkable SB.,"Green Apple, citrus, gooseberry, grapefruit. Medium bodied sauvignon blanc with good acid. Very nice!",https://images.vivino.com/thumbs/rmaUFSoIQy-hVUHmsoze1Q_pb_x300.png
656,https://www.vivino.com/bonterra-viognier/w/656,14.99,Bonterra,Viognier,White wine,Californian Viognier,Mendocino County,United States,3.6,1072,62.4294,,45.2346,22.0512,"Tasty. Balanced, a little zip on the tongue. Honeysuckle and other floral notes, plus a little ""noble rot"" at the end. A bit simple on the palate.",Peaches and apricots with a touch of honey and a long finish,"Well balanced acidity, crisp, creamy, fruity with notes of apricot, peach, coconut. Easy going and fresh to enjoy in evening :)",https://images.vivino.com/thumbs/lW5Tl23cT-yP17CIFCUnqw_pb_x300.png
657,https://www.vivino.com/bonterra-zinfandel/w/657,13.99,Bonterra,Zinfandel,Red wine,Californian Zinfandel,Mendocino County,United States,3.7,7258,92.5,38.2709,38.0667,19.9945,Smoky and tart! Mega big and bold but not a velvety mouthfeel. Spicy and peppery. Much better with an aerator. Eh not my fave.,"aromas of blueberry, black stone fruit and black pepper. Polished tannins and flavors of berries, vanilla, black pepper and toasty oak lead to an elegant, balanced, and a rich, long finish.","Interesting scent of coconut, nectar, dark cherries, peaches and liquorice. Well balanced and very smooth tannins. Great character and good value. Try it with grilled beef!",https://images.vivino.com/thumbs/nPp_8KO5T16H9j0RGG-tZQ_pb_x300.png
658,https://www.vivino.com/bouchaine-vineyards-pinot-noir/w/658,34.99,Bouchaine,Pinot Noir,Red wine,Californian Pinot Noir,Los Carneros,United States,3.9,1877,50.8842,26.1634,8.29925,63.7488,"This is a surprisingly, pleasantly full bodied PN. Leather, cherry and cola on the nose. Brighter red fruit and cherry on the front palate. A touch of smoke and spice in the earthy finish, which gently lingers.",Excellent match with the butter poached lobster. Steps up from the house M-W.,Delicious Pinot with a light cherry finish and medium in body.,https://images.vivino.com/thumbs/Da6H1_BvSW6gIjAmugjWoQ_pb_x300.png
663,https://www.vivino.com/bouchaine-vineyards-pinot-gris/w/663,32.99,Bouchaine,Pinot Gris,White wine,Californian Pinot Gris,Los Carneros,United States,3.8,49,53.2051,,21.1875,40.2596,"Bouchaine wines are a regular favorite. This Pinot Gris has nice nectarines and Granny Smith on the nose, with more lines and grapefruit mixed in in the mouth. It's bright and refreshing. The cookies are Brown Eyed Baker's Snickerdoodles, which are yummy, but turned out not to be the best pairing for this wine. Oh well. #SundayBaking #CookiesForCoworkers #WineForMe",Honeysuckle aromas dominate. Crisp tart green apple flavors are quite nice. Decently long finish. Goes really well with snow crab legs.,"Velvety for a pinot gris, nice taste, great finish, notes of apricot,",https://images.vivino.com/thumbs/mQQ4kqXIRpCy-RgsyedKRQ_pb_x300.png
695,https://www.vivino.com/broman-cellars-cabernet-sauvignon/w/695,48.99,Broman,Cabernet Sauvignon,Red wine,Napa Valley Cabernet Sauvignon,Napa Valley,United States,4.3,340,92.5,65.6226,11.3659,62.3531,"A truly Napa Cab, an elegant and complex nose with blueberries, cherry, cloves, lavender, and cut grass. Velvet ruby color, close to full body, silky tannins, balanced acidity, cherry structure, and a medium brittle cherry finish. Hold on to it, it would improve with age.","Dark fruit. Needs to open and once it does, its layered. Full yet refined. Just a great wine. Each sip leaves you wanting more.",One of my all time favorites!,https://images.vivino.com/thumbs/dFEBXxHTS4Ocf_y6iwcNCQ_pb_x300.png
703,https://www.vivino.com/buehler-vineyards-cabernet-sauvignon/w/703,39.99,Buehler,Cabernet Sauvignon,Red wine,Napa Valley Cabernet Sauvignon,Napa Valley,United States,3.9,5043,92.5,61.5543,15.67616,59.8307,Thoroughly enjoyed it. Strong fruit presence with hints of oak and maybe even vanilla. Best if it sits for a while. This is an excellent value. I got mine under $20 and I don't know of another Napa Cab this good for the money.,"Blackberry, Blueberry, Violet, Plum, Medium Plus Tannin","A discreet and dark nose with dates and cassis that is not very powerful but quite sweet. And then a body that is very different , extremely long tannins that are really bitter after a few seconds blackberry . The body is mostly tannins so maybe some fatty food would really use this wine well.",https://images.vivino.com/thumbs/bB-3lppRTe-b64MZaWc4zw_pb_x300.png
705,https://www.vivino.com/buehler-vineyards-zinfandel/w/705,31.99,Buehler,Zinfandel,Red wine,Californian Zinfandel,Napa Valley,United States,3.8,1107,92.5,37.9624,38.2209,17.9181,"Red fruit aroma with spices like pepper. Little bit sweet but still dry, medium high body with medium tannins.    Good ","My brother gifted me this spectacular Zin for Xmas. It truly uplifted my holiday meal. Dark and peppery, it is redolent and gently complex. One of the finest California wines that I have been privileged to imbibe!","Medium dark purple in color. Smells like cherry and other red fruit, smoke and forest floor. Tastes of black raspberry and raisin with a pepper finish and touch of jam. Nice tannins and enough acidity for this to develop for a few more years but plenty drinkable now with some nice aged cheddar.",https://images.vivino.com/thumbs/O66M_hA4RJOi8sdj7CA3fA_pb_x300.png
740,https://www.vivino.com/cakebread-cellars-chardonnay-napa-valley/w/740,38.99,Cakebread,Chardonnay,White wine,Napa Valley Chardonnay,Napa Valley,United States,4.2,10616,92.5,,32.2223,47.8386,"Perfume of French oak, smooth with mild buttery texture, crisp fruit flavors that carry throughout the wine.","Wry nice wine: on its own or with food. It paired nicely with a Nioise salad, and with pan-seared whitefish and a lemon-thyme cream sauce.","Like its 2013 predecessor; you could pour this over popcorn, but nonetheless Cakebread 2014 Chardonnay is exquisite with a couple years of cellar potential, Enjoy.",https://images.vivino.com/thumbs/nIvy8ALtS7SibQ8g_NJpsw_pb_x300.png
741,https://www.vivino.com/cakebread-cellars-pinot-noir-two-creeks-vineyards/w/741,54.99,Cakebread,Pinot Noir Two Creeks Vineyards,Red wine,Californian Pinot Noir,Anderson Valley,United States,4.2,1858,52.4224,27.1418,14.64732,62.1826,"Bouquet of cocoa nibs, roasted plum, and some baking spice. Mouthfeel is medium-full bodied with medium high acidity and flavors of cedar plank-roasted plum, chocolate cocoa, and cigar box. Nicely done.","Lots of cherry and strawberry . Bouquet is not exceptional but the finish is long and velvety. Low tannins, and low acidity make this a wine to pair with pasta and a nice ragu.","2017 vintage. Nice Anderson Valley PN. More underbrush and moss on the nose but a real nice bright cherry and pomegranate on the nose. Wonderful texture with oak aging of 10 months, 40% new. Its present in the finish.",https://images.vivino.com/thumbs/RjXA5fG_RPSduJZzfBjITw_pb_x300.png
744,https://www.vivino.com/cakebread-cellars-merlot/w/744,62.95,Cakebread,Merlot,Red wine,Californian Merlot,Napa Valley,United States,4.2,2748,74.9362,29.4799,23.1765,17.5203,"Total: 93 points. 4.3/5 Notes: Very dry, leaves your mouth in a pucker. Interesting finish. Not overly oaky, but the fruit shines through. Lacks some level of complexity due to the homogeneity of the grapes.","Earthy blackberry...fragrant berry oak nose, mild pepper and touch of vanilla with balanced acid with a medium body into rounded finish. Paired with tomato mushroom based sauce over penne pasta. Great overall wine and go to benchmark for Merlot.","Cakebread Cellars Winery @Napa Valley, CA",https://images.vivino.com/thumbs/-KSdspxyTvif0ZC8okPDHg_pb_x300.png
745,https://www.vivino.com/cakebread-cellars-cabernet-sauvignon/w/745,69.98,Cakebread,Cabernet Sauvignon,Red wine,Napa Valley Cabernet Sauvignon,Napa Valley,United States,4.4,18326,92.5,57.1785,13.99563,60.277,At home: classic cab - savory and tannins,"Deep bloody red. Classic Napa cab. Still young and oak heavy but very enjoyable. Will be even better in 2+ years . 2012, 91-93 pts","Awesome. Juicy, lots of fruit, and long finish. Balanced nicely on the palate. Would love to try an older bottle aged version as I imagine its even smoother!",https://images.vivino.com/thumbs/ZYpgwfRFRWqKpSvfVKZjIA_pb_x300.png
835,https://www.vivino.com/chimney-rock-winery-cabernet-sauvignon/w/835,89.99,Chimney Rock,Cabernet Sauvignon,Red wine,Napa Valley Cabernet Sauvignon,Stags Leap District,United States,4.3,10310,92.5,58.2332,10.55274,60.5088,Another brilliant cab from stags leap district.,A lovely assortment of red meadow fruits sit on the nose with a distinct dry earth. Theres a lovely fresh cocoa wrapped in a little tobacco leaf that bring this together wonderfully. The palate offers more of those ripened red fruits alongside a beautiful white pepper spice. The finish brings a lovely freshness with just enough tannin to create a rounded picture.,"Clear, deep ruby. Clean, medium plus intensity aroma of black fruit, oak, smoke. ry, medium plus acidity, medium plus tannins, full body and medium finish. Excellent.",https://images.vivino.com/thumbs/x9gLcGMXRTOwjoPHoSldGw_pb_x300.png
836,https://www.vivino.com/chimney-rock-winery-elevage/w/836,88.99,Chimney Rock,Elevage,Red wine,Californian Red Blend,Stags Leap District,United States,4.3,1885,92.5,60.5283,13.97929,70.4792,"A fine blend. A very good wine, but just a little less structure and complexity to its more pure cab relatives. Normally I don't suggest more cab Franc. This time I am","Awesome Napa red blend. Cab, merlot, petit verdot","A right bank blend of 57% Merlot, 35% Cab Sauv, 8% PV, I enjoyed a strong profile of dark fruits laced in smoked meat. Nicely balanced, nice structure, a bit pricey. Cheers!",https://images.vivino.com/thumbs/NlbQmg7IRIya0f46mh0WzQ_pb_x300.png
875,https://www.vivino.com/hacienda-monasterio-tinto/w/875,44.99,Hacienda Monasterio,Tinto,Red wine,Spanish Ribera Del Duero Red,Ribera del Duero,Spain,4.3,18735,73.1405,60.7304,19.4241,68.8806,"Full body, non acid. Light",4.2 by the glass from one of those vacuum machines. Ribera del duero always make me smile.,"Savory, Smoky, Spicy And Perfectly Mature. At A Perfect Age For This Wine And My Palate. Subtle Fruit But Savory Aspects Dominate.",https://images.vivino.com/thumbs/Y9ME5PiETR636FeeyoOJuA_pb_x300.png
909,https://www.vivino.com/cline-pinot-gris/w/909,13.98,Cline,Pinot Gris,White wine,Californian Pinot Gris,Sonoma Coast,United States,3.5,474,52.2273,,22.6439,36.9438,"Apricot, honey, creamy. Great minerality and viscosity. Rocks and the butter. Not oaky. Unusual or new to me kind of Pinot Gris.","Another picnic wine, a big and very charming sun-drenched pinot gris, my first from California. 14,5% alcohol but not over the top for my palate. Flamboyant and voluptuous. Ripe and dried pear and tropical fruit, even a certain petrol note that is interesting. Very creamy mouthfeel and a perfect companion on a warm summer evening.",Reminds me of Meiomi,https://images.vivino.com/thumbs/gR9HHrDsQWSb8l1v8GSdaQ_pb_x300.png
917,https://www.vivino.com/cline-cool-climate-syrah/w/917,16.99,Cline,Cool Climate Syrah,Red wine,Californian Syrah,Sonoma Coast,United States,3.7,395,88.5177,66.8129,16.41272,50.6916,"Rich black fruit with a tannin kick. Enjoyable, but not too complex.",Bloody nice drop this. Didn't come across much Shiraz when we were in Sonoma but this is a belter. Not too heavy or jammy as some can be. Recommended.,"Cherry, deer velvet / musty / earthy. Got smoke and leather on the nose and a touch of prune/plum clean crisp finish. Pretty interesting wish I let it open a bit it the steak was almost gone.....",https://images.vivino.com/thumbs/ekpYmt7MR9qPMNKBbJ7u_w_pb_x300.png
921,https://www.vivino.com/cline-big-break-vineyard-zinfandel/w/921,37.99,Cline,Big Break Vineyard Zinfandel,Red wine,Californian Zinfandel,Contra Costa County,United States,4,1162,92.5,37.6898,38.0318,18.3398," Deep ripe red fruits on the nose. A touch of vanilla.  Dry taste of dark berries, oak and wood. Long and dry finish.","Wow! Surprisingly good cellar find! 3.8 stars for this great aged on its peak Zinfandel! Contra Costa County fruits, single vineyard and aged for 12 months in 40% new French oak. On the elegant side with a good tannin structure. A deep ruby red with many legs. Medium+ nose of black raspberries, cherries, black elder berries, sage, eucalyptus, peat, sweet spices, tobacco and slightly oak. The red has a medium and present acidity, medium+ velvety and integrated tannins. Medium+ bodied with 15.5%. ~~~~>>","Amazing Zinf with a bouquet dominated by ripe plums and a tiny fart. Pepper, moist liqourice, Black currant and a hint of leather. Really delicate.",https://images.vivino.com/thumbs/qZHqo3i1S2mVTAAg4P6G7Q_pb_x300.png
931,https://www.vivino.com/us-clos-du-val-cabernet-sauvignon/w/931,46.99,Clos du Val,Cabernet Sauvignon,Red wine,Napa Valley Cabernet Sauvignon,Napa Valley,United States,4,12293,92.5,60.7042,13.70392,61.5556,Consistently good Napa stags leap district cab. Inky in color and moderately complex structure. Cassis and black currant. Always a solid choice.,A bit acidic but a good balance of tannins. Subtle oak on the nose. A bit of blackberry and vanilla on the tongue. I really enjoyed it with my ribeye this evening.,"Clear, deep ruby. Clean, medium plus intensity aroma of black fruit, oak, chocolate, smoke. Dry, medium plus acidity, medium plus tannins, full body and medium finish. Quite smoky. Excellent.",https://images.vivino.com/thumbs/SpAJaeImQuKdFGtjPvwJsg_pb_x300.png
932,https://www.vivino.com/us-clos-du-val-chardonnay/w/932,29.99,Clos du Val,Chardonnay,White wine,Napa Valley Chardonnay,Los Carneros,United States,3.8,1748,92.5,,34.2426,46.3495,"I dont usually like oaky Chardonnay but this is amazing. Paired with coconut shrimp, it almost tastes soft and sweet. Amazing.","Banana, tropical and creamy green fruits on the nose. Clean and fresh with green fruits, creamy hay and yellow blossom / honeysuckle.","Butterscotch, vanilla and tropical fruits on the nose; followed up with a nicely rounded pallet and finish. Nice acidity and balance.",https://images.vivino.com/thumbs/Awc0DbQxQNqXUVYIPbrAmw_pb_x300.png
950,https://www.vivino.com/mollydooker-winery-the-boxer-shiraz/w/950,26.58,Mollydooker,The Boxer Shiraz,Red wine,Australian Shiraz,McLaren Vale,Australia,4.1,19249,92.5,55.4359,29.4382,50.69,Cherries on the nose lead to a nicely rounded mix of blackberries with hints of leather and vanilla. Theres a slight suggestion of smokiness too.,I love this everyday Shiraz. Tastes blackberry pepper oak chocolate,"Delicious mildly Oakey Shiraz. Moderate body, light tannins, deep red colour. Beautiful aroma of deep plum with tickling spice",https://images.vivino.com/thumbs/_jEM-6XiQdOfFVLGXQLPDA_pb_x300.png
1041,https://www.vivino.com/duck-pond-cellars-chardonnay/w/1041,19.99,Duck Pond,Chardonnay,White wine,Washington State Chardonnay,Columbia Valley,United States,3.4,171,72.1037,,27.0889,66.4074,A nice value wine. Paid about $9 for it... Drinkable and easy drinker. would be a great wine for a non wine drinker.,"Chardonnay from Columbia Valley, Washington. Aged 8 months in 20% new French oak barrels, full malolactic fermentation. Notes of apple, pear, citrus. Medium body, dry, moderate acidity, no sign of new oak, fruity finish.","Light delicate golden color, smooth, polished, clean acidity with bright citrus and only hints of buttery richness. Did not have the heavy oakiness that covers up the Chardonnay character. Enjoyed with tilapia and lemon caper sauce !!!! A match made in heaven. Cheers ",https://images.vivino.com/thumbs/iaqvm3skQvWJMXsKHtiqVA_pb_x300.png
1065,https://www.vivino.com/la-croix-saint-georges-saint-emilion-pomerol/w/1065,78.99,Château La Croix St. Georges,Pomerol,Red wine,Bordeaux Pomerol,Pomerol,France,4.2,2278,83.3512,60.8427,19.7029,59.8003,"A premium class Pomerol aged to perfection elegant layers of red and black forrest fruit. Palate aged but still velvety as one expects from the concentrated Merlot grapes. @Wakende Haan, Abcoude","A delight! Fully ripened Pomerol; delicate old nose with interesting impressions of leather, vanilla, coffee and a hint of putty. Med+ acidity, med tannins. Round silky mouthfeel. Complex and developed flavors, depth and balance. Med+ finale. Very good. 17 pts @ Wakende Haan.","Killer Pom & 39 thats hard to beat on QPR & next door to Petrus! Perfect now to next 5-10 yrs   Was lucky to try this vintage from the barrel before it was bottled   94-95 points  80% Merlot & 20% Cab Franc  Opaque ruby  Dark jammy plum & blackcurrant through smokey oak, choc mocha, flint, pencil lead, soggy earthy leaves & wet rock minerals  Med+ creamy smooth ripe dark plum & blackcurrant body w/ a mocha infusion & mineral tone  Long dark fruit, minerals & rich mocha linger",https://images.vivino.com/thumbs/fWzq8Dx-QjKf2Xev-HcH6g_pb_x300.png
1151,https://www.vivino.com/graham-beck-wines-brut-chardonnay-pinot-noir/w/1151,16.9,Graham Beck,Brut (Chardonnay - Pinot Noir),Sparkling wine,,Robertson,South Africa,3.8,4017,,,,,78/100 Very good quality and value Green apple lemon peach hint of cream and yeast Full body Med minus alcohol (12.5%abv) Med acidity Med plus intensity Med finish The wine lack of complexity and the acidity is a bit too low for a quality sparkling wine. Why Robert Parker scored 90??? ,"A very nice south African sparkling and a great alternative to champagne.  Chardonnay and Pinot Noir.  Pale gold color, a firm mousse and tiny bubbles. Not very expensive but very pleasant with attractive notes of apples, peach and citrus.  A lively palate, elegant, refreshing and a good length. Green apples, grapefruit, citrus, white stone fruits and a fine acidity. QPR a great product.  My score: 4,1","Graham Beck entering its third generation as a family winery, established in 1983 when entrepreneur Graham Beck purchased Madeba farm outside the Western Cape town of Robertson. A blend of 53% Chardonnay and 47% Pinot Noir, aromas of tropical fruits and biscuit notes, vivid crisp acidity on medium finish ending with yeasty notes. Nice value.",https://images.vivino.com/thumbs/72vKwARWSWqUeXQSfQDYEQ_pb_x300.png
1155,https://www.vivino.com/graham-beck-wines-brut-rose-chardonnay-pinot-noir/w/1155,16.99,Graham Beck,Brut Rosé (Chardonnay - Pinot Noir),Rosé wine,,Robertson,South Africa,3.8,4754,,,,,Great everyday champagne style S.A. bubbles. Really good for the price. Pinot dominated and plenty of red fruit. For the price really hard to beat,Strawberry dominating with cherry and minerals in the background. Nice and refreshing rose bubbly. Worked well with a chicken salad,"Strawberry and limey citrus. Creamy with some marmite. Some cloves and brioche. Fine bubbles stream to the top and down my throat. Yummy,yummy!!",https://images.vivino.com/thumbs/IzEB-6RGSQecbdchT6ovpg_pb_x300.png
1156,https://www.vivino.com/graham-beck-wines-brut-blanc-de-blancs/w/1156,27.99,Graham Beck,Brut Blanc De Blancs,Sparkling wine,,Robertson,South Africa,3.8,1696,,,,,Nice solid Blanc de Blanc from South Africa. Nice aromas of lime and apricot with tastes of citrus and strong brioche. Local wine shops holiday wine tasting.,Light and sweet.,"2 of 5 or 80-84 (Bra, ett vlgjort vin / Good, a well made wine).",https://images.vivino.com/thumbs/J_ApCrc6Q7uaDDdYIaQwcg_pb_x300.png
1208,https://www.vivino.com/avignonesi-grandi-annate-vino-nobile-di-montepulciano/w/1208,84.99,Avignonesi,Grandi Annate Vino Nobile di Montepulciano,Red wine,Italian Vino Nobile Di Montepulciano,Vino Nobile di Montepulciano,Italy,4.3,2509,62.1008,64.2414,13.95713,73.3111,"Decanted for 45 min to 1h... it gave me his best. cherry oak some smoky hits and plum. Rick and full body, smooth. Balanced wine","Medium intense color of ruby with a good touch of garnet. A nose of ripe, red cherries and raspberries, blackcurrant and elderberries, elegant oak impact and spices. Dry with a good med plus acidity. The tannins are high and of ripe quality. On the palate again ripe cherries and raspberries, underlined by fine wood and spicy notes. Almost full bodied and with a med plus finish. (90 P)","A blend of 85% Sangiovese and 15% Cabernet Sauvignon. On the nose sweet dark cherries, fine cedar, dried roses, thyme, coffee, vanilla, medium bodied with the same fruit flavors, very fine cedar notes, herbs, mint like notes, difficult to discribe, fine tannin and acidity, earth and spice, some sweet tobacco on the aftertaste! 93 DSP",https://images.vivino.com/thumbs/Aus_Bk-oSDG7uHnhwCJjRA_pb_x300.png
1209,https://www.vivino.com/avignonesi-desiderio-merlot/w/1209,61.99,Avignonesi,Desiderio Merlot,Red wine,Tuscan Red,Cortona,Italy,4.2,3902,62.2727,50.3398,21.5334,50.3579,A pleasant surprise Opened for 3h 30min; yet very powerful and youthful! Notes of 1)Blackberry licorice Some milk and vanilla Texture is silky yet H tannin M+~h acidity Bitter end           .          ...   ! Well structured palate yet the aroma intesity is medium - : a decent glass like Zalto is needed. 2) Milk cooked plum Hint of mint 3) lots of milk and red fruits 4.3,"Earthy Merlot, great fruit, surprisingly powerful. Strong red fruit flavors and cherry.","Massive red currant & Blueberry flavors with chassis, smoked paprika & white pepper",https://images.vivino.com/thumbs/ikEKvHl8QaagObv_Cwpitg_pb_x300.png
1213,https://www.vivino.com/avignonesi-vin-santo-di-montepulciano/w/1213,224.99,Avignonesi,Vin Santo di Montepulciano,Dessert wine,,Vin Santo di Montepulciano,Italy,4.6,577,,,,,Easily the best dessert wine to pass my lips. Thick and syrupy with beautiful undertones of caramel and toffee.,"2001, RP100, FUCKING CONCENTRATED, SUPER LONGGGGGG FINISH, MUCH MORE CONCENTRATED THAN VIN DE PAILLE DE JURA, AMAZING, THE BEST SWEET WINE I TASTED SO FAR, I PERFER THE WHITE VERSION THAN RED!",Caramel honey and lemon. beautiful color thick like syrup. I wanted to like the glass clean!,https://images.vivino.com/thumbs/DfRwdHySQESlt1FIKcULbw_pb_x300.png
1241,https://www.vivino.com/penfolds-bin-407-cabernet-sauvignon/w/1241,69.98,Penfolds,Bin 407 Cabernet Sauvignon,Red wine,Australian Cabernet Sauvignon,South Australia,Australia,4.1,9048,75.0347,63.7382,15.72495,59.6256,Great wine. Strong,"Full bodied, berries and good tannin.",A very nice CS from Penfolds. Mixing complexity of black fruits with vanilla mint and choco elements. Smooth with a satisfying finish.,https://images.vivino.com/thumbs/1JvvsOTYTyma-25GRqO6Dw_pb_x300.png
1244,https://www.vivino.com/penfolds-bin-28-kalimna-shiraz/w/1244,27.99,Penfolds,Bin 28 Kalimna Shiraz,Red wine,Australian Shiraz,Barossa Valley,Australia,4,19366,92.5,53.9672,27.4579,50.3243,Fruity with chocolate. Sweet and silky. Nice yum factor.,Really smooth. Great vintage!!!,"A nice South Australian Shiraz, big fruit, berry, licorice, but a little tannic even after decanting. A good nose, but shorter than expected on the palate.",https://images.vivino.com/thumbs/TxsARYi6T0y-DUcjm2RV4w_pb_x300.png
1249,https://www.vivino.com/penfolds-bin-311-chardonnay/w/1249,42.99,Penfolds,Bin 311 Chardonnay,White wine,Australian Chardonnay,Tumbarumba,Australia,3.7,1685,60.2421,,16.80135,59.7925,"Little dry, smooth, good balanced mouthfeel, safe but serious, not too much oak, ok, good concentration and length",oak lemon butter vanilla grapefruit apple pineapple,"Good Chardonnay. Stone fruit, citrus, mineral acidity",https://images.vivino.com/thumbs/PssLM5uXTKqjR-TZqhG0WQ_pb_x300.png
1263,https://www.vivino.com/penfolds-yattarna-chardonnay-bin-144/w/1263,169.99,Penfolds,Yattarna Chardonnay (BIN 144),White wine,Australian Chardonnay,Adelaide Hills,Australia,4.3,1392,59.7236,,23.078,56.5493,"Very smooth, complex round Chardonnay. Hints of light honey. Pairs deliciously with fish.","Complex and layered cool climate Chard. Full-bodied with great acidity and balance. Macadamia nut, smokey lime, lemon, pineapple and a long mineral finish.","Clear, pale lemon. Clean, medium plus intensity aroma of green apple, pear, lemon. Dry, high acidity, medium body and long finish. Excellent!",https://images.vivino.com/thumbs/aMdgLSKeQVybJ-VdZSg6rQ_pb_x300.png
1264,https://www.vivino.com/penfolds-bin-707-cabernet-sauvignon/w/1264,400,Penfolds,Bin 707 Cabernet Sauvignon,Red wine,Australian Cabernet Sauvignon,South Australia,Australia,4.5,4408,74.8277,64.1512,17.8382,60.4751,"This wine and the Grange are two of my most favorite wines in the world. Magnificently structured, bold, well integrated tannins, This wine makes my heart sing. Wonderful Buy and enjoying now.","For my 3,000th review, I thought Id better grab something special from the cellar. Not my favourite wine, or grape, or winery, but pretty special. Intense deep ruby red colour. Nose of rich, dark fruit; blackberries, oak, slight earthiness. Still fresh and vibrant. Palate burst with same; dark fruits, some berry sweetness, silky smooth tannins. Verdict: yum. 707/800. ",The Cab sister of Grange  Bargain 70 when purchased in Aus years ago now @ end of peak drinking window costing 4X more! Dark ruby red  Dark fruits & dark cocoa with soft oak & touch of smoke  Medium body of smooth mocha lead blackcurrant  Medium+ rich blackcurrant & cocoa finish with tannin still dry @ end This has more life for sure but don't think fruit will hold its richness much longer - one I'd drink now to appreciate as just going over peak. The 2000 407 impressed me more on age ,https://images.vivino.com/thumbs/xJJg5yv0ShWAmp7_-1J5BA_pb_x300.png
1265,https://www.vivino.com/penfolds-rwt-shiraz/w/1265,142.6,Penfolds,RWT Shiraz,Red wine,Australian Shiraz,Barossa Valley,Australia,4.4,6347,92.2799,54.688,30.3111,50.4922,"clear, medium intensity, a mix of blueberry, mulberry and musk taste nose and tastes, medium acidity, tannin is medium comparing with grange series, tannin is firm and can still put for a while, full body and peppery, a bit of bitness at the end, cedar oak flavour complexity coming out at the end of the tasting.","Awesome. 4.6. super decadent. Less tannin than other high end 2019 Penfolds releases. A smooth and butteriness on the finish. A lot of fruit and acid, in balance.",Uber smooth - super super super,https://images.vivino.com/thumbs/dDyTwzIfQC68MCUgjmYWpw_pb_x300.png
1266,https://www.vivino.com/penfolds-magill-estate-shiraz/w/1266,139.99,Penfolds,Magill Estate Shiraz,Red wine,Australian Shiraz,Barossa,Australia,4.3,1746,87.8745,53.7641,28.4169,51.6299,"Found this in a small shop, last bottle. Can't find it at home so great surprise! Penfolds' original single vineyard, it gave me tasty plum, cherry, oak, and cedar with highlights of toffee and caramel. Another hit from the best Aussie outfit!!! If you haven't had this, you need to try it!","Big, bold Barossa Shiraz and it lives up to its reputation. Deep garnet with crimson hue; dried figs, raisins, dark chocolate, big fruits, vanilla, cigar box, mouth coating ripe tannins, crazy lingering dried fruit.","There you go...this is more like it. This single-plot bottling is a magnificent brute and one of my new benchmarks for Australiana! Power and restraint equates to elegance. Bursting with black and blue berries, dark chocolate and stylish use of oak. For me, great Shiraz is about texture and this is brilliant in its toned muscular svelteness framed by ripe acidity and polished tannins. Harmony in a glass.",https://images.vivino.com/thumbs/kyzhtLH8T0CIUZaHn3AVAg_pb_x300.png
